,Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Age,Children,Family_size,Is_Parent,Customer_For,Amount Spent,Cluster,PC_Clusters
0,2,0,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,66,0,1,0,971,1617,1,1
1,2,0,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,69,2,3,1,125,27,0,2
2,2,1,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,58,0,2,0,472,776,1,1
3,2,1,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,39,1,3,1,65,53,0,2
4,3,1,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,42,1,3,1,321,422,2,0
5,3,1,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,56,1,3,1,453,716,2,0
6,2,0,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,52,1,2,1,753,590,2,0
7,3,1,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,38,1,3,1,488,169,0,2
8,3,1,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,49,1,3,1,548,46,0,2
9,3,1,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,0,73,2,4,1,268,49,0,2
10,1,1,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,47,0,2,0,753,61,0,2
11,2,0,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,64,0,1,0,386,1102,1,1
12,3,0,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,71,2,3,1,386,310,0,2
13,2,1,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,36,0,2,0,787,46,0,2
14,3,0,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,77,0,1,0,742,1315,1,1
15,2,1,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,43,2,4,1,712,96,0,2
16,2,1,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,77,0,2,0,827,317,0,2
17,3,1,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,74,1,3,1,618,1782,2,0
18,1,0,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,38,1,2,1,1000,133,0,2
19,2,1,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,41,0,2,0,850,316,0,2
20,2,1,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,44,1,3,1,553,1730,2,0
21,3,1,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,74,1,3,1,713,972,2,0
22,3,1,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,69,1,3,1,35,544,2,0
23,2,1,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,72,1,3,1,628,444,2,0
24,2,0,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,54,0,1,0,673,75,0,2
25,2,1,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,47,2,4,1,558,257,0,0
26,2,1,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,34,1,3,1,554,131,0,2
27,3,1,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,58,0,2,0,379,1672,1,1
28,3,0,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,34,0,1,0,198,30,0,2
29,3,1,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,60,0,2,0,396,318,0,1
30,2,1,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,53,1,3,1,787,120,0,2
31,3,0,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,71,2,3,1,768,302,2,0
32,3,1,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,77,0,2,0,654,1196,1,1
33,3,0,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,72,2,3,1,464,65,0,2
34,3,1,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,53,1,3,1,340,913,2,0
35,1,1,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,47,1,3,1,665,81,0,2
36,2,0,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,50,1,2,1,34,67,0,2
37,3,0,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,0,80,0,1,0,703,902,0,1
38,2,1,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,43,1,3,1,586,1395,2,0
39,3,1,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,38,1,3,1,368,53,0,2
40,2,1,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,66,1,3,1,712,22,0,2
41,3,1,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,48,1,3,1,664,31,0,2
42,2,0,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,47,0,1,0,161,984,1,1
43,1,1,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,27,0,2,0,816,122,0,2
44,2,1,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,55,1,3,1,561,55,0,2
45,3,1,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,69,2,4,1,847,1319,2,0
46,2,0,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,66,1,2,1,1,507,2,1
47,3,1,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,59,0,2,0,758,1693,1,1
48,2,0,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,46,1,2,1,673,72,0,2
49,2,0,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,0,46,0,1,0,153,1617,1,1
50,2,1,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,45,2,4,1,365,606,2,0
51,3,1,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,68,0,2,0,747,1957,1,1
52,2,0,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,57,0,1,0,670,1093,1,1
53,2,0,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,35,1,2,1,222,29,0,2
54,3,1,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,55,1,3,1,278,518,2,2
55,3,0,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,41,0,1,0,608,1438,1,1
56,2,1,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,48,2,4,1,880,612,2,0
